genus,X4.3.2012.abundance,X8.7.2012.abundance,X11.6.2012.abundance,X1.26.2013.abundance,X2.25.2013.abundance,X3.24.2013.abundance,X4.7.2013.abundance,X4.29.2013.abundance,X6.9.2013.abundance,X7.14.2013.abundance,X8.10.2013.abundance,X9.3.2013.abundance,X9.24.2013.abundance,X10.27.2013.abundance,X11.10.2013.abundance,X12.14.2013.abundance,X1.19.2014.abundance,X2.17.2014.abundance,X3.23.2014.abundance,X5.4.2014.abundance,X6.16.2014.abundance,X8.11.2014.abundance,X8.22.2014.abundance,X8.25.2014.abundance,X9.28.2014.abundance,X11.16.2014.abundance,X11.22.2014.abundance,X12.7.2014.abundance,X12.17.2014.abundance,X1.6.2015.abundance,X1.14.2015.abundance,X1.25.2015.abundance,X2.8.2015.abundance,X2.23.2015.abundance
Leuconostoc,0,0,0,1.4e-05,0,0,0,0,0.000153,0,0,0,0,0,0,0,5.3e-05,5.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paludibacter,0,2e-05,0,0,0,0,1.4e-05,0,0,0,0,0,0,0,0,2.4e-05,3.2e-05,0,0,7e-06,0,0.000673,2.9e-05,0,3.5e-05,1.4e-05,0,4.6e-05,3.4e-05,1.2e-05,0,5.2e-05,0,0
Sporobacter,0,0,0,2.7e-05,0,0.000167,0,1.7e-05,0,0,0,4.2e-05,0.000106,0.000156,6e-05,5.4e-05,4.3e-05,0,0,0,0,0,0,0,0,0,0,2.3e-05,0,0,0,0,0,0
Aquisalimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5e-05,0,0,0.000208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aggregatibacter,0,0,0,0,2.3e-05,0,0.000181,8.6e-05,2.3e-05,0,0,0,0,0,0,6e-06,1.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sporomusa,0,1.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moryella,0,0.00027,2.5e-05,0.000333,0.000339,0.000111,1.4e-05,0,0,0,9.8e-05,3.7e-05,3.2e-05,2.5e-05,0,0.000354,1.1e-05,0.001694,0,0.001488,2e-05,0,0,0,0.00017,2.1e-05,5.3e-05,2.3e-05,1e-05,4.3e-05,0,5.2e-05,0,0
Actinomyces,0,2.5e-05,0.000137,6.1e-05,2.3e-05,0,1.4e-05,9.5e-05,4.7e-05,1.8e-05,4.9e-05,0,2.1e-05,7.8e-05,2e-05,5.1e-05,4.3e-05,0.000171,7.7e-05,0.000191,2e-05,0,7.2e-05,0.000119,3.5e-05,3.5e-05,0,0,0,8e-06,0,5.2e-05,8.2e-05,4.4e-05
Gardnerella,0,0,0.000146,0,0,0,0,0,0,0,0,0.000264,4.8e-05,1.6e-05,4e-05,0.001122,0.000139,0,0,0,9.5e-05,0,0.000275,0,0,0,0,0,0,1.5e-05,0,0,0,0
Eikenella,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5e-05,0,0,1.6e-05,6.6e-05,0,0.000161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oribacterium,0,1e-05,5.7e-05,1.4e-05,0,0.000111,5.6e-05,0,0,0,7.7e-05,9e-06,2.1e-05,8e-06,1e-05,0,7.5e-05,2.6e-05,0,4.3e-05,0,0,0,0,2.3e-05,0,0,0,1.5e-05,1.5e-05,0,5.2e-05,4.1e-05,4.4e-05
Erysipelatoclostridium,0,0,0.00035,0.000136,2.3e-05,0,0,3.5e-05,8e-06,0,0.000126,4.6e-05,0.000133,4.9e-05,3.5e-05,6e-06,2.1e-05,0.000135,0,0.000105,4e-05,0,0,0,0,0,2.7e-05,0,0,0,0,0,4.1e-05,0
Varibaculum,0,0,1.6e-05,0,0.000362,0.000111,0.000208,0,5.9e-05,0,0,0,0,0.000859,0,0,4.8e-05,7.3e-05,0,0.000635,0,0,0,0,0,1.4e-05,0,0,0,4.6e-05,0,0,0,0
Oscillospira,0,0.00019,1e-05,0,3.4e-05,0.000555,1.4e-05,2.6e-05,2.7e-05,0.000229,0.001691,0.00056,0.000658,0.002334,0.000771,6e-06,5.9e-05,4.4e-05,0,6.6e-05,2e-05,0,0,0,0,0,0,2.3e-05,0,1.5e-05,0,0,0,0
Actinobacillus,0,8e-05,3.5e-05,1.4e-05,0,0.000111,1.4e-05,5.2e-05,6.3e-05,0,4.5e-05,4.6e-05,9.6e-05,0,1e-05,3e-05,1.1e-05,0,0,6.9e-05,0,0,0,7.9e-05,0,1.4e-05,0.000106,0,2e-05,8e-06,0,0,0,0
Bifidobacterium,0.00018,0.00014,0.000875,0.000319,0.00026,0,2.1e-05,0.001235,3.5e-05,7e-05,0.000724,0.000301,0.000717,0.000394,0.000227,9e-06,0.000346,5.1e-05,0,0.000105,1e-05,0,0.000246,0,0,6.4e-05,0.002364,0,6.4e-05,0,0,7.8e-05,0.000495,0
Haemophilus,0,5e-05,6e-06,0,0,0,0.000118,0,1.6e-05,0,5.3e-05,0,0,8e-06,0,9e-06,4.8e-05,0,0,0.000102,0,0,0,0,0,1.4e-05,0,0,0,8e-06,0,0,0,0
Anaerofilum,0,0.000115,4.5e-05,2e-05,0,0,0,6e-05,0,3.5e-05,8e-06,8.3e-05,7.4e-05,0.000205,4.5e-05,1.8e-05,2.7e-05,2.9e-05,0,5.6e-05,4e-05,0,0,0,1.2e-05,0,0,2.3e-05,0,1.2e-05,0,0,0,0
Paenibacillus,0.00012,0,0,0,0.000102,0.000111,6.3e-05,0,1.2e-05,0,8e-06,3.2e-05,0,3.7e-05,1e-05,2.4e-05,2.7e-05,0,0,1e-05,0,0,0,0,4.7e-05,0,6.6e-05,2.3e-05,1e-05,0.000197,0,0,0,0.000239
Fusobacterium,0,0,2.9e-05,0,0.002091,0.000167,0.010101,0.000121,0.00038,3.5e-05,3.3e-05,9e-06,1.1e-05,0.000152,0,8.1e-05,0.001039,0.000408,0,0.000734,0,0.002104,2.9e-05,0,0,0.000134,0,0,1e-05,0,0,0,0,0
Megasphaera,0,1.5e-05,1.6e-05,0,0.000147,0,8.3e-05,0,8e-06,1.8e-05,0,1.4e-05,0,8.6e-05,6e-05,6e-05,0.000474,0.000179,0,0.001495,0,0,0,0.000159,0,6.4e-05,0,0,1e-05,1.2e-05,0,5.2e-05,0,0
Herbaspirillum,0,0,5.4e-05,5.4e-05,4.5e-05,0,1.4e-05,0.000423,0,0,0.000614,0.000375,0.000435,0.000596,9.6e-05,0.000126,0.004385,3.6e-05,0.000459,0.000207,0.00012,0,0,6e-05,1.2e-05,0,0,8.1e-05,0.000192,1.5e-05,0,0,0,0
Papillibacter,0.00012,5e-05,1.6e-05,4.8e-05,2.3e-05,0,3.5e-05,0,1.6e-05,0,3.3e-05,9e-06,5.8e-05,8e-06,1.5e-05,3.6e-05,0,4.7e-05,0,3.6e-05,6e-05,0,0,0,1.2e-05,0,0,5.8e-05,0,8e-06,0,5.2e-05,0,0
Johnsonella,0,0,1e-05,0,0,0.000111,0,0,0,0,0,0,0,1.2e-05,0,0,0,0,0,0,0,0,0,0,1.2e-05,0,0,3.5e-05,1e-05,0,0,7.8e-05,0,0
Thiothrix,0,0,0,0,0.00061,0,0,0,0,0,0,0,0,2.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000104,0,0
Enorma,0,3.5e-05,0,0,9e-05,0,0,0,0,0,0,0,0,1.6e-05,0,0,0,0,0,0,0,0,0,0,0.000264,0.000134,0.000306,0.000115,4.4e-05,0,0,0.00026,0.000247,0
Porphyromonas,0,1e-05,0,0,0,0,1.4e-05,0,8e-06,0,8e-06,9e-06,0,3.3e-05,0,2.1e-05,0,7e-06,0,0.000135,0,0,2.9e-05,0,1.8e-05,5e-05,0,0,5.4e-05,8e-06,0,0.000104,0,0
Dysgonomonas,0,0,0,0,4.5e-05,0,0.000167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3e-05,0,7.6e-05,0.000163,0,0.000127,6.4e-05,7.4e-05,0,7.8e-05,0,0
Olsenella,0,0,0,1.4e-05,0,0.000111,1.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8e-05,1.4e-05,2.7e-05,0,0,0,0,0.000104,4.1e-05,0
Flavobacterium,0.00012,0,4.8e-05,1.4e-05,0,0,0,0.001166,1.6e-05,0,0,0,1.1e-05,0,0,0,0,0,0,7e-06,0,0.000168,0,7.9e-05,0,0,0,0,0,0,0,0,0,0
Enterococcus,0,0,0.00015,1.4e-05,0,0,1.4e-05,0,8e-06,1.8e-05,0,0,3.7e-05,1.6e-05,1.5e-05,0,0,0,0,0,0.000245,0,2.9e-05,0.000139,0,0,0,0,0,0,0,0,0,0
Cronobacter,0.263505,0.029122,9.2e-05,0.142922,0.000362,0.001998,0.020932,0.00038,0.122663,0.059142,0.106559,0.130117,0.14382,4.9e-05,0.076454,0.13145,0,0.071,0.130854,0.078968,0.04842,0,0.080188,0.114288,0.073906,0.041159,4e-05,0.002745,7.4e-05,0.003156,0,0,0,6.5e-05
Intestinimonas,0,0,0,1.4e-05,0,0.000111,1.4e-05,0,0,0,8e-06,1.4e-05,0,3.3e-05,1.5e-05,6e-06,0,1.5e-05,0,4e-05,2e-05,0,0,0,0,0,0,0,0,0,0,0,4.1e-05,0
Pediococcus,0,0.000155,0,0,0,0,0,0,0,0,0.000122,1.9e-05,2.1e-05,0.000251,0,0,0,4.4e-05,0,7.2e-05,0,0,0,0,0,0,0,0,0,1.5e-05,0,0,0,0
Shuttleworthia,0,0,0,0,0,0.001055,0,0,0,0,8e-06,0,0,8e-06,0,0,0,0,0,0,8e-05,0,0,0,5.9e-05,1.4e-05,0,0,0,0.000124,0,0,0,0
Alicyclobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000592,0,0,0,0
Robinsoniella,0,4.5e-05,0,0,0,0,0,0,3.5e-05,1.8e-05,8e-06,0,0,0,0,0,0,7e-06,0,1e-05,0,0,0,0,1.2e-05,0.000142,5.3e-05,0,1e-05,0.00012,0,0,0,0
Erwinia,0,4e-05,0,0,0,0,1.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2e-05,0,0.000123,5e-05,0,4.6e-05,0,1.9e-05,0,0,0,0
Citrobacter,0,0.00012,0,0,9e-05,0.000111,4.9e-05,0,0,6.2e-05,2e-05,0,1.1e-05,2.9e-05,3e-05,0,0,1.1e-05,0,0,2e-05,0,0,0,8.2e-05,4.2e-05,0,0,0,0.000209,0,0,0,0
Chromobacterium,0,1e-05,0,0,0,0,0,0,5.5e-05,0,0,2.8e-05,0,8e-06,1e-05,1.5e-05,0,0,0,4e-05,0,0,0,0,0.000135,0,0,0,4.4e-05,3.5e-05,0,0,0,0
Plesiomonas,0,0,2.9e-05,0,0,0.000833,0.000111,0.000225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-05,0,0,0,0,0,8e-06,0,0,0,0
Aeromonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000778,0,0,0,0
Anaerococcus,0,1.5e-05,0,0,0.000113,0,5e-04,0,5.9e-05,0,1.6e-05,4.2e-05,0,0.002523,2.5e-05,0,0,7e-06,0,0.00079,0,0.000168,0,0,0,0,0,0,0,5.8e-05,0,0,0,0
Candidatus Armantifilum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9e-05,0,1.2e-05,2.1e-05,0,0,0,0.000244,0,0,0.000515,0
Flexibacter,0,0,0,0,0,0.000111,0,0,0,0,8e-06,0,0,8e-06,0,0,0,0,0,0,0,0,0,0,0,1.4e-05,0,0,0,0,0,0,0,0
Devosia,0.00018,0,0,0,2.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,7e-06,0,0,0,0,0,0,2.3e-05,1.4e-05,0,0,0,0,0,0,0,0
Chryseobacterium,0,0,0,0,0,0,0,0,0,0,0,0.000111,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4e-05,2.7e-05,0,0,0,0,0,0,0
Planifilum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008528,0,0,0,0,0,0,0,0
Turicibacter,0,0,3.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001076,0,0,0,0,0,0,0
Anaeroplasma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002577,0,0,0,0,0,0,0
Natranaerovirga,0,1.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000239,0,0,0,0,0,0,0
Howardella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000638,0,0,0,0,0,0,0
Brevundimonas,0,0,2.2e-05,0,2.3e-05,0,0,0.00051,3.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9e-05,4.7e-05,0,8e-05,0,0,0,0,0,4.1e-05,0
Cellvibrio,0,0,6e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6e-05,0,0,0,0,0.000144,0
Lonsdalea,0,0,6e-06,0,0,0.000222,0.000104,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Rahnella,0,0,2.5e-05,0,0,0.000333,3.5e-05,0.000363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hafnia,0,0,0.00467,0,0,0.011325,0.000535,0.000216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yersinia,0,0,0.002707,0,0,0.054402,0.022675,0.047852,0,0,8e-06,0,0,0,0,0,0,0,0,0,0,0.000168,0,0,0,0,0,0,0,0,0,0,0,0
Francisella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-06,0,0,0.000153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhodobacter,0,2.5e-05,0,0,0,0.000722,1.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,2.3e-05,0,0,0,0,0,4.4e-05
Dechloromarinus,0,0,0,0,0,0,0.000215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015,0,0,0,0,0,0
Ewingella,0,0,0,0,0,0.017819,0.000111,0,0,0,0,1.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermus,0,0,0,0,0,0,0,0.000121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nitrosomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000168,0,0,0,0,0,0,0,0,0,0,0,0
