genus,X4.3.2012.abundance,X8.7.2012.abundance,X11.6.2012.abundance,X1.26.2013.abundance,X2.25.2013.abundance,X3.24.2013.abundance,X4.7.2013.abundance,X4.29.2013.abundance,X6.9.2013.abundance,X7.14.2013.abundance,X8.10.2013.abundance,X9.3.2013.abundance,X9.24.2013.abundance,X10.27.2013.abundance,X11.10.2013.abundance,X12.14.2013.abundance,X1.19.2014.abundance,X2.17.2014.abundance,X3.23.2014.abundance,X5.4.2014.abundance,X6.16.2014.abundance,X8.11.2014.abundance,X8.22.2014.abundance,X8.25.2014.abundance,X9.28.2014.abundance,X11.16.2014.abundance,X11.22.2014.abundance,X12.7.2014.abundance,X12.17.2014.abundance,X1.6.2015.abundance,X1.14.2015.abundance,X1.25.2015.abundance,X2.8.2015.abundance,X2.23.2015.abundance
Pseudomonas,0,0,3.5e-05,0,0,0,0.000153,0.000838,0.000121,0,0,7.9e-05,1.1e-05,0.000185,0,1.8e-05,2.1e-05,9.1e-05,0,4e-05,1e-05,0,0,0.000119,0.000252,0.000149,0,0.000265,0.003221,5.4e-05,5.9e-05,0,4.1e-05,0.000239
Enterorhabdus,0,0,0,0,0,0,0,0,0,0,4.1e-05,0,0,8e-06,2e-05,0,0,7e-06,0,2.3e-05,1e-05,0.000252,2.9e-05,0,0,1.4e-05,0,9.2e-05,1e-05,0,2.3e-05,0.000208,0,0
Christensenella,0,3.5e-05,0.000181,0.000156,0.000237,0,9e-05,0.000121,0.000188,0.000703,0.000707,0.000449,0.000579,0.000551,0.000353,0.000288,0.000416,0.000302,0.000574,0.000142,0.00014,0,5.8e-05,0,2.3e-05,7.1e-05,0,8.1e-05,0.000221,5.4e-05,2.3e-05,5.2e-05,4.1e-05,0
Collinsella,0.003593,0.000685,0.007272,0.002127,0.001424,0.002387,0.000695,0.004095,0.002051,0.001143,0.00298,0.001198,0.002537,0.005695,0.001209,0.001089,0.006601,0.001928,0.000497,0.002236,0.001136,0.001178,0.003387,0.005734,0.001221,0.001698,0.001528,0.000519,0.000777,0.000252,0.000351,0.001925,0.003338,4.4e-05
Candidatus Arthromitus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2e-05,7.8e-05,0,4.6e-05,3.4e-05,8e-06,2.3e-05,0.000208,0,0
Bacillus,0,1e-05,6e-06,2.7e-05,7.9e-05,0,0.000104,0,0,0,8e-06,3.7e-05,2.1e-05,2.5e-05,0,3.3e-05,3.2e-05,1.1e-05,0,0,0,0,0,0,0,1.4e-05,0,0.000104,0,7.4e-05,4.7e-05,0.000104,0,0
Gemella,0,0.000165,1e-05,1.4e-05,0.001447,0,0.014797,0.000138,0.001272,0.000835,0.00015,8.3e-05,0.000159,0.004799,0.000332,9.6e-05,0.001657,0.001039,0,0.004498,0,0.001599,0,6e-05,0,9.9e-05,0,0,2e-05,0.000271,0.000609,0,0,0
Parabacteroides,0.004671,0.012943,0.017779,0.010151,0.045111,0.028367,0.04087,0.019257,0.00413,0.010963,0.013129,0.014804,0.006465,0.011431,0.00602,0.025521,0.030197,0.005889,0.019437,0.010961,0.010093,0.030971,0.044016,0.030001,0.008698,0.029652,0.001979,0.026858,0.017889,0.035754,0.058482,0.019929,0.006862,0.013515
Faecalibacterium,0.036412,0.08507,0.115144,0.122505,0.011326,0.00816,0.007684,0.102218,0.119324,0.139919,0.199306,0.101234,0.142552,0.131116,0.1203,0.039277,0.056083,0.065614,0.118343,0.062975,0.140071,0.006733,0.004545,0.13538,0.167949,0.039637,0.207489,0.151625,0.148613,0.153468,0.015505,0.014336,0.168992,0.158067
Anaerotruncus,0.016948,0.004828,0.007587,0.011245,0.01301,0.001221,0.003571,0.006566,0.002842,0.001169,0.002537,0.001013,0.001141,0.00127,0.000791,0.005272,0.010106,0.011318,0.003788,0.003391,0.003113,0.002104,0.001838,0.002917,0.000646,0.000347,0.000252,0.001315,0.0012,0.001421,0.003384,0.001353,0.000701,0.000392
