family,4.3.2012 abundance,8.7.2012 abundance,11.6.2012 abundance,1.26.2013 abundance,2.25.2013 abundance,3.24.2013 abundance,4.7.2013 abundance,4.29.2013 abundance,6.9.2013 abundance,7.14.2013 abundance,8.10.2013 abundance,9.3.2013 abundance,9.24.2013 abundance,10.27.2013 abundance,11.10.2013 abundance,12.14.2013 abundance,1.19.2014 abundance,2.17.2014 abundance,3.23.2014 abundance,5.4.2014 abundance,6.16.2014 abundance,8.11.2014 abundance,8.22.2014 abundance,8.25.2014 abundance,9.28.2014 abundance,11.16.2014 abundance,11.22.2014 abundance,12.7.2014 abundance,12.17.2014 abundance,1.6.2015 abundance,1.14.2015 abundance,1.25.2015 abundance,2.8.2015 abundance,2.23.2015 abundance
Sutterellaceae,0.000419,5e-04,0.001212,0.00038,9e-05,NA,0.000382,0.004423,0.002909,0.002558,0.00087,0.000898,0.000669,0.001122,0.000368,0.001671,0.000677,0.002285,0.005854,0.002871,0.001962,0.000168,2.9e-05,0.006429,0.003832,0.000701,0.003095,0.010898,0.010804,0.007179,0.000316,NA,0.00171,0.005484
Coriobacteriaceae,0.004551,0.002426,0.008707,0.006176,0.003594,0.00272,0.002313,0.005564,0.002999,0.002005,0.004485,0.001911,0.003407,0.007898,0.001864,0.001905,0.01131,0.005032,0.002181,0.004089,0.002497,0.003619,0.005442,0.009127,0.002764,0.00448,0.002789,0.002041,0.002621,0.001874,0.000984,0.009626,0.007439,0.000435
Prevotellaceae,0.000299,0.014979,0.020744,8.2e-05,0.011224,0.063451,0.069555,0.065536,0.075781,0.042429,0.021457,0.028045,0.039133,0.024046,0.049851,0.025233,0.004166,0.002165,0.020776,0.015976,0.021127,0.044437,0.090783,0.004941,0.121515,0.121615,4e-05,0.087864,0.071809,0.061045,0.027613,0.024456,0.030621,0.021154
Christensenellaceae,0.006228,0.004633,0.006928,0.00848,0.010975,0.002554,0.001938,0.005451,0.001946,0.003095,0.005294,0.004696,0.005876,0.00505,0.003567,0.006197,0.005876,0.012331,0.00551,0.004201,0.002162,0.002693,0.002591,0.004861,0.001221,0.000856,0.024772,0.001315,0.001392,0.001003,0.005387,0.004969,0.00171,0.00037
Rikenellaceae,0.021619,0.015074,0.012397,0.022408,0.019871,0.015432,0.015457,0.01016,0.007641,0.008124,0.002806,0.00656,0.004851,0.004754,0.006534,0.010932,0.010282,0.01963,0.010637,0.00456,0.004058,0.006565,0.011406,0.013969,0.003844,0.009278,0.005751,0.004521,0.004971,0.009364,0.011031,0.013997,0.004204,0.001502
Porphyromonadaceae,0.007426,0.019341,0.029829,0.015967,0.053498,0.043189,0.05366,0.034142,0.00999,0.016388,0.022209,0.018538,0.010069,0.023377,0.009617,0.035892,0.038481,0.018552,0.028199,0.018511,0.014007,0.043848,0.062775,0.041251,0.015946,0.04101,0.006987,0.03417,0.023063,0.048522,0.081212,0.033146,0.012446,0.014886
Clostridiales Family XIII. Incertae Sedis,NA,NA,1.9e-05,0.000217,3.4e-05,NA,6.9e-05,NA,NA,7.9e-05,0.000146,6.5e-05,NA,8e-06,2.5e-05,6e-06,NA,0.000164,NA,3.3e-05,0.000315,NA,4.3e-05,NA,1.2e-05,NA,NA,2.3e-05,NA,5.4e-05,3.5e-05,NA,NA,NA
Clostridiales Family XI. Incertae Sedis,0.00024,3.5e-05,1.3e-05,NA,0.000452,NA,0.001195,NA,0.000164,5.3e-05,6.1e-05,4.2e-05,6.4e-05,0.00544,5.5e-05,1.8e-05,4.8e-05,8.7e-05,NA,0.002911,2e-05,0.003619,NA,NA,NA,1.4e-05,0.002099,NA,NA,0.000124,0.000141,NA,0.000185,NA
Bacteroidaceae,0.044736,0.037687,0.085916,0.044993,0.063648,0.031142,0.058592,0.058789,0.026365,0.034789,0.055612,0.057649,0.022685,0.071317,0.029414,0.098142,0.072034,0.065873,0.04798,0.052389,0.035069,0.043175,0.057434,0.067382,0.056734,0.056699,0.052706,0.037283,0.055203,0.093186,0.131625,0.033822,0.032558,0.039805
Desulfovibrionaceae,0.008863,0.004828,0.006626,0.016572,0.012151,0.013545,0.011032,0.006281,0.008636,0.00495,0.00283,0.004511,0.003503,0.005523,0.003345,0.007898,0.013266,0.009048,0.006734,0.009236,0.004133,0.014055,0.01116,0.007441,0.002741,0.008973,0.001209,0.004682,0.005463,0.006788,0.012261,0.007805,0.004533,0.001676
Bartonellaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e-05,NA,2.3e-05,NA,NA,NA
Acidaminococcaceae,0.004012,0.002451,0.006458,0.001012,0.000848,0.001499,0.001306,0.004682,0.005989,0.010436,0.000638,0.002179,0.000886,0.002338,0.00268,0.007916,0.000746,0.012758,0.012205,0.004817,0.002472,0.014896,0.008945,0.020397,0.001913,0.001748,0.000691,0.001707,0.000531,0.000786,0.000972,0.001769,0.000927,0.006638
Oscillospiraceae,NA,0.000235,0.000331,8.8e-05,5.7e-05,0.000888,0.00032,0.000121,0.00074,0.001231,0.003672,0.002864,0.00147,0.003608,0.002463,0.000291,0.000357,0.000313,0.000727,0.000283,0.000711,0.000337,0.000217,NA,0.000364,0.000361,2.7e-05,9e-04,0.000536,0.000283,0.000187,NA,8.2e-05,0.000348
Cryomorphaceae,NA,NA,NA,NA,0.00043,NA,7.6e-05,NA,2.7e-05,NA,4.1e-05,9e-06,0.000122,2.1e-05,1e-05,7.2e-05,0.00017,0.000481,NA,2.6e-05,3.5e-05,NA,NA,0.000774,NA,3.5e-05,NA,NA,1e-05,3.1e-05,4.7e-05,NA,NA,NA
Staphylococcaceae,NA,2e-05,NA,NA,2.3e-05,NA,1.4e-05,NA,NA,NA,8e-06,7.4e-05,2.1e-05,4.9e-05,9.1e-05,0.000255,1.6e-05,7e-06,NA,5.3e-05,NA,NA,2.9e-05,NA,2.3e-05,NA,8e-05,NA,2e-05,2.3e-05,0.000293,0.00013,8.2e-05,NA
Erysipelotrichaceae,0.013235,0.006344,0.013415,0.005082,0.004657,0.005163,0.005238,0.005883,0.003864,0.009258,0.018761,0.004899,0.010891,0.008707,0.004161,0.007337,0.021092,0.015997,0.011593,0.004738,0.003543,0.016748,0.005052,0.002718,0.003416,0.011755,0.002484,0.004221,0.002114,0.000689,0.002705,0.009756,0.005543,0.000131
Victivallaceae,NA,NA,7e-05,NA,NA,NA,1.4e-05,2.6e-05,0.000572,1.8e-05,0.000207,0.000361,0.000382,0.000123,0.000242,0.000435,0.000224,0.000251,7.7e-05,2e-05,6e-05,NA,0.000333,NA,4.7e-05,NA,2.7e-05,NA,NA,1.5e-05,0.000176,NA,4.1e-05,NA
Rhodobacteraceae,NA,2.5e-05,NA,1.4e-05,NA,0.000722,4.2e-05,NA,8e-06,NA,8e-06,NA,NA,8e-06,1e-05,1.2e-05,1.1e-05,NA,NA,3.3e-05,1e-05,NA,2.9e-05,4e-05,NA,4.2e-05,NA,4.6e-05,1e-05,2.3e-05,3.5e-05,NA,4.1e-05,0.000174
