genus,X1.14.2015.abundance,X1.19.2014.abundance,X1.25.2015.abundance,X1.26.2013.abundance,X1.6.2015.abundance,X10.10.2013.abundance,X10.2.2013.abundance,X10.23.2013.abundance,X10.27.2013.abundance,X11.10.2013.abundance,X11.16.2014.abundance,X11.22.2014.abundance,X11.6.2012.abundance,X12.14.2013.abundance,X12.17.2014.abundance,X12.7.2014.abundance,X2.17.2014.abundance,X2.17.2014.1.abundance,X2.23.2015.abundance,X2.25.2013.abundance,X2.8.2015.abundance,X3.23.2014.abundance,X3.24.2013.abundance,X4.29.2013.abundance,X4.3.2012.abundance,X4.7.2013.abundance,X5.4.2014.abundance,X5.4.2014.1.abundance,X6.16.2014.abundance,X6.9.2013.abundance,X7.14.2013.abundance,X8.10.2013.abundance,X8.11.2014.abundance,X8.22.2014.abundance,X8.25.2014.abundance,X8.7.2012.abundance,X9.24.2013.abundance,X9.25.2013.abundance,X9.28.2014.abundance,X9.3.2013.abundance
Blautia,0.014345,0.112369,0.116115,0.077389,0.021744,0.024362,0.065764,0.104232,0.083957,0.115464,0.085035,0.069561,0.109558,0.043718,0.052931,0.054051,0.015515,0.051362,0.029467,0.111494,0.103876,0.027931,0.061008,0.051524,0.07965,0.030227,0.068729,0.049097,0.075127,0.058239,0.058983,0.125393,0.122033,0.063064,0.043711,0.069486,0.110945,0.058039,0.060027,0.076076
Kluyvera,3.5e-05,0,0,0,2.7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morganella,0.004918,8e-05,0,0,0.008856,0.000137,0,0,3.7e-05,1.5e-05,0.003347,0,0,2.4e-05,0.022325,0.022638,0.001287,2.9e-05,0.016584,0.00017,6.2e-05,0,0,0,0,0.000222,2.4e-05,0.000333,0,1.2e-05,0,0,0.000168,0,6e-05,0,0,0,0.00804,0
Providencia,0.005235,0,0,0,0.001115,0,0,0,0,0,0.000142,0,0,0,0.006098,0.005201,0,0,0.002568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-05,0,0,5.9e-05,0
Salmonella,0.000281,0.000448,0,0.000116,0.001073,0.000108,9.3e-05,2e-05,5.3e-05,5.5e-05,0.000828,0,2.9e-05,0.000129,0,0,4.2e-05,3.6e-05,0,0.000441,0,0,0.000222,5.2e-05,0,0.000174,0.000254,1.6e-05,2e-05,4.7e-05,6.2e-05,0.000268,0.001683,5.8e-05,9.9e-05,0.00014,0.000111,0.000134,0.000739,0.00012
Wautersiella,7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubacterium,0.036138,0.016835,0.010485,0.012074,0.015288,0.042991,0.02258,0.021331,0.031213,0.065361,0.019171,0.007385,0.024132,0.028867,0.028575,0.01046,0.009158,0.012958,0.025071,0.009777,0.012426,0.020661,0.087876,0.022341,0.017787,0.064734,0.024166,0.008923,0.050166,0.031008,0.110626,0.012149,0.017253,0.020713,0.005357,0.074559,0.027016,0.062098,0.015611,0.079023
Sutterella,0.000199,0,0,4.8e-05,0.005638,0.002212,0.002143,0.001979,0.000251,0.000237,0.000524,0.002909,0.000544,0.000129,0.006722,0.006942,0.005949,0.00051,0.002655,3.4e-05,0.000639,0.00199,0,0.003101,0,0.000368,0.001647,0.001636,0.000385,0.002541,0.002216,0.000244,0.000168,0,0.004286,0.00021,8e-05,0.001421,0.002348,0.000116
Peptoniphilus,2.3e-05,0,0,0,8e-06,0.001236,0.001038,0.000457,0.00263,3e-05,0,6.6e-05,0,6e-06,0,0,0.000263,7e-06,0,0,0,0,0,0,0.00012,0,5.2e-05,8e-04,0,7.8e-05,0,0,0,0,0,0,3.7e-05,0.000577,0,0
Adlercreutzia,7e-05,0.000202,0.001795,0.00248,0.000527,8e-05,0.000169,6.1e-05,0.000103,1e-05,0.000587,2.7e-05,0.000519,5.4e-05,0.000541,0.000669,9.4e-05,0.000361,8.7e-05,0.000192,0.000288,0.000268,0,0.000423,0.000299,0.000146,0.000681,0.000339,0.00034,0.000204,2.6e-05,6.1e-05,0.001178,0.000709,0.000615,8e-04,0,0.000134,0.000211,5.1e-05
Corynebacterium,2.3e-05,1.1e-05,0,0,1.9e-05,0.000145,1.7e-05,0,5.8e-05,3e-05,0,0.002484,6e-06,0,0,2.3e-05,0.000197,1.5e-05,0,0,0,0,0,0,0,0,0.000168,4.9e-05,2.5e-05,8e-06,0.000114,4.9e-05,0,0,0,0,0,8.6e-05,0,6.9e-05
Parvimonas,3.5e-05,4.8e-05,0,0,1.5e-05,0,0,0,0.000263,0,1.4e-05,0,0,0,0,0,0.000536,4e-05,0,0.000271,4.1e-05,0,0,0,0,0.000695,4e-05,0.001238,1e-05,8e-06,5.3e-05,2.8e-05,0.003198,0,0,1e-05,0,0,0,0
Parasutterella,0.000117,0.000661,0,0.000333,0.001491,0.002393,0.001434,0.001451,0.00083,0.000121,0.000177,0.000159,0.000668,0.001518,0.004072,0.003956,0.001635,0.001775,0.002829,5.7e-05,0.001072,0.003864,0,0.001322,0.000419,1.4e-05,0.003031,0.001228,0.001576,0.000368,0.000343,0.000626,0,2.9e-05,0.002143,0.00029,0.000563,0.001951,0.001485,0.000773
Tatumella,8.2e-05,0,0,0,8.5e-05,0,0,5.1e-05,0,0,0,0,0,0,0,0,0,0,0,0.000158,0,0,0,0,0,1.4e-05,0,0,0,0,0,0,0,0,0,1.5e-05,0,0,0,9e-06
Bacteroides,0.130079,0.071858,0.032157,0.043838,0.08883,0.045977,0.027879,0.020672,0.070277,0.028855,0.053232,0.051072,0.083934,0.096089,0.052444,0.034458,0.238689,0.065563,0.036432,0.061941,0.031301,0.047865,0.03031,0.058253,0.044736,0.057008,0.040414,0.051006,0.035019,0.026021,0.034279,0.053558,0.04166,0.052831,0.067065,0.036251,0.022494,0.059671,0.052978,0.057256
